2.01	14.758936	14.076538
2.02	14.900054	14.147113
2.03	15.041878	14.217692
2.04	15.184407	14.288277
2.05	15.327643	14.358867
2.06	15.471585	14.429461
2.07	15.616233	14.500061
2.08	15.761586	14.570665
2.09	15.907646	14.641274
2.10	16.054413	14.711888
2.11	16.201885	14.782507
2.12	16.350063	14.853130
2.13	16.498947	14.923759
2.14	16.648539	14.994391
2.15	16.798836	15.065029
2.16	16.949839	15.135672
2.17	17.101549	15.206319
2.18	17.253965	15.276971
2.19	17.407089	15.347628
2.20	17.560919	15.418289
2.21	17.715454	15.488955
2.22	17.870697	15.559627
2.23	18.026648	15.630302
2.24	18.183304	15.700983
2.25	18.340668	15.771668
2.26	18.498737	15.842359
2.27	18.657515	15.913054
2.28	18.816999	15.983753
2.29	18.977190	16.054457
2.30	19.138088	16.125166
2.31	19.299694	16.195879
2.32	19.462006	16.266598
2.33	19.625025	16.337320
2.34	19.788752	16.408049
2.35	19.953186	16.478781
2.36	20.118328	16.549517
2.37	20.284178	16.620258
2.38	20.450733	16.691004
2.39	20.617996	16.761755
2.40	20.785967	16.832510
2.41	20.954645	16.903271
2.42	21.124031	16.974035
2.43	21.294125	17.044804
2.44	21.464926	17.115578
2.45	21.636435	17.186356
2.46	21.808653	17.257139
2.47	21.981579	17.327927
2.48	22.155212	17.398718
2.49	22.329554	17.469515
2.50	22.504602	17.540316
2.51	22.680359	17.611120
2.52	22.856825	17.681931
2.53	23.033998	17.752745
2.54	23.211880	17.823565
2.55	23.390469	17.894388
2.56	23.569767	17.965216
2.57	23.749773	18.036049
2.58	23.930489	18.106886
2.59	24.111912	18.177727
2.60	24.294043	18.248573
2.61	24.476883	18.319424
2.62	24.660431	18.390278
2.63	24.844688	18.461138
2.64	25.029654	18.532001
2.65	25.215328	18.602869
2.66	25.401711	18.673742
2.67	25.588802	18.744619
2.68	25.776604	18.815500
2.69	25.965113	18.886385
2.70	26.154331	18.957275
2.71	26.344259	19.028170
2.72	26.534895	19.099068
2.73	26.726240	19.169971
2.74	26.918295	19.240879
2.75	27.111057	19.311790
2.76	27.304529	19.382706
2.77	27.498711	19.453627
2.78	27.693602	19.524551
2.79	27.889202	19.595480
2.80	28.085512	19.666414
2.81	28.282532	19.737352
2.82	28.480261	19.808294
2.83	28.678698	19.879240
2.84	28.877844	19.950191
2.85	29.077700	20.021147
2.86	29.278265	20.092106
2.87	29.479542	20.163069
2.88	29.681528	20.234037
2.89	29.884224	20.305010
2.90	30.087629	20.375986
2.91	30.291744	20.446966
2.92	30.496569	20.517950
2.93	30.702103	20.588940
2.94	30.908346	20.659933
2.95	31.115301	20.730930
2.96	31.322966	20.801931
2.97	31.531340	20.872936
2.98	31.740423	20.943947
2.99	31.950218	21.014961
3.00	32.160725	21.085979
3.01	32.371941	21.157001
3.02	32.583866	21.228027
3.03	32.796501	21.299057
3.04	33.009846	21.370092
3.05	33.223904	21.441132
3.06	33.438671	21.512175
3.07	33.654148	21.583221
3.08	33.870335	21.654272
3.09	34.087234	21.725327
3.10	34.304844	21.796387
3.11	34.523163	21.867451
3.12	34.742191	21.938519
3.13	34.961933	22.009590
3.14	35.182384	22.080666
3.15	35.403545	22.151745
3.16	35.625420	22.222828
3.17	35.848003	22.293915
3.18	36.071297	22.365007
3.19	36.295303	22.436104
3.20	36.520020	22.507204
3.21	36.745445	22.578308
3.22	36.971584	22.649416
3.23	37.198433	22.720528
3.24	37.425995	22.791643
3.25	37.654266	22.862762
3.26	37.883251	22.933886
3.27	38.112946	23.005013
3.28	38.343349	23.076143
3.29	38.574467	23.147280
3.30	38.806293	23.218420
3.31	39.038834	23.289564
3.32	39.272083	23.360712
3.33	39.506046	23.431864
3.34	39.740719	23.503019
3.35	39.976105	23.574179
3.36	40.212204	23.645342
3.37	40.449013	23.716509
3.38	40.686535	23.787680
3.39	40.924767	23.858854
3.40	41.163712	23.930033
3.41	41.403366	24.001215
3.42	41.643734	24.072401
3.43	41.884815	24.143591
3.44	42.126606	24.214785
3.45	42.369110	24.285982
3.46	42.612328	24.357183
3.47	42.856255	24.428389
3.48	43.100895	24.499598
3.49	43.346249	24.570810
3.50	43.592312	24.642027
3.51	43.839088	24.713247
3.52	44.086578	24.784472
3.53	44.334778	24.855700
3.54	44.583691	24.926931
3.55	44.833317	24.998167
3.56	45.083656	25.069407
3.57	45.334705	25.140650
3.58	45.586468	25.211897
3.59	45.838943	25.283148
3.60	46.092133	25.354403
3.61	46.346031	25.425661
3.62	46.600643	25.496923
3.63	46.855968	25.568190
3.64	47.112007	25.639458
3.65	47.368759	25.710730
3.66	47.626225	25.782005
3.67	47.884399	25.853285
3.68	48.143288	25.924568
3.69	48.402889	25.995855
3.70	48.663204	26.067146
3.71	48.924232	26.138441
3.72	49.185974	26.209740
3.73	49.448429	26.281042
3.74	49.711597	26.352348
